"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"29027","Callaway, MO","4","CA1","1","...","Personal income (thousands of dollars)",82223,90230,96776,105653,120850,134691,140880,162140,188666,224681,255648,276260,320864,355871,382810,404921,395871,421606,440566,454432,493052,487096,515690,550439,572876,616260,653297,699177,743577,771644,816308,870063,905762,920402,977850,1083643,1132947,1167614,1246885,1335094,1358482,1380990,1422959,1451629,1496180,1524442,1556543
"29027","Callaway, MO","4","CA1","2","...","Population (persons) 1/",26102,26008,26321,27646,28286,27841,28280,28667,29287,30586,31445,32261,32228,32151,32404,32297,31524,31298,31976,32288,32673,32943,33549,34076,34910,35001,36347,37741,38600,39406,40074,40927,41490,41973,42023,41767,42683,43118,43414,43855,44041,44333,44314,44440,44499,44743,44834
"29027","Callaway, MO","4","CA1","3","...","Per capita personal income (dollars) 2/",3150,3469,3677,3822,4272,4838,4982,5656,6442,7346,8130,8563,9956,11069,11814,12537,12558,13471,13778,14074,15091,14786,15371,16153,16410,17607,17974,18526,19264,19582,20370,21259,21831,21928,23269,25945,26543,27080,28721,30443,30846,31150,32111,32665,33623,34071,34718
"29029","Camden, MO","4","CA1","1","...","Personal income (thousands of dollars)",34842,39234,45399,51779,59816,66738,76582,89440,101833,121683,138994,159969,180954,197004,221773,256210,281224,305893,324370,346444,390525,409601,440792,486396,536630,588841,638590,684084,732799,793094,852466,948228,951755,970528,1024351,1080187,1147195,1236159,1272312,1336381,1308816,1287601,1341870,1393455,1423687,1480562,1536783
"29029","Camden, MO","4","CA1","2","...","Population (persons) 1/",13084,13430,13917,14862,15657,16068,16696,17179,18235,18815,19483,20142,20604,20977,21880,23119,24144,24973,25698,26286,26980,27646,28252,29058,30093,31232,32408,33634,34471,35392,36316,37053,37497,38263,38832,39572,40641,41832,42744,43462,43762,44036,43608,43883,43853,44053,44237
"29029","Camden, MO","4","CA1","3","...","Per capita personal income (dollars) 2/",2663,2921,3262,3484,3820,4153,4587,5206,5584,6467,7134,7942,8782,9391,10136,11082,11648,12249,12622,13180,14475,14816,15602,16739,17832,18854,19705,20339,21258,22409,23474,25591,25382,25365,26379,27297,28228,29551,29766,30748,29908,29240,30771,31754,32465,33609,34740
"29031","Cape Girardeau, MO","4","CA1","1","...","Personal income (thousands of dollars)",150370,170092,185472,200170,225182,252311,289422,322591,355984,408189,456643,495114,563276,587241,624604,698983,741333,792175,852313,892803,960467,993615,1045888,1132476,1195214,1266939,1352659,1410412,1484302,1577815,1673169,1783110,1865949,1946680,2042754,2179463,2246451,2396001,2584417,2629565,2604174,2657021,2785928,2980540,2993172,3042383,3145350
"29031","Cape Girardeau, MO","4","CA1","2","...","Population (persons) 1/",49517,49511,50392,51928,51598,52962,52354,54270,54908,56497,57475,58969,59374,59328,59337,59512,60157,60551,60665,61076,61419,61794,62678,63884,64590,65075,65862,66666,67098,67433,68504,68796,69340,69735,70186,71121,71793,72941,73510,74141,74927,75887,76663,77121,77566,78108,78572
"29031","Cape Girardeau, MO","4","CA1","3","...","Per capita personal income (dollars) 2/",3037,3435,3681,3855,4364,4764,5528,5944,6483,7225,7945,8396,9487,9898,10526,11745,12323,13083,14050,14618,15638,16079,16687,17727,18505,19469,20538,21156,22121,23398,24424,25919,26910,27915,29105,30644,31291,32848,35157,35467,34756,35013,36340,38648,38589,38951,40031
"29033","Carroll, MO","4","CA1","1","...","Personal income (thousands of dollars)",45663,50270,53980,59356,71495,67157,73630,69562,89536,92883,105054,93218,114333,116401,115785,133810,151460,146698,144596,147986,159687,153158,158281,177150,168543,190292,182325,208322,211797,203987,214573,229697,239860,240883,256302,287682,282718,305341,341376,371673,361967,342675,379296,388867,420776,422744,399267
"29033","Carroll, MO","4","CA1","2","...","Population (persons) 1/",12880,12570,12628,12592,12399,12323,12424,12225,11920,11902,12072,12105,11975,11761,11660,11536,11371,11265,11097,10874,10795,10737,10639,10696,10703,10486,10439,10381,10377,10373,10306,10267,10136,10097,10000,9922,9912,9743,9622,9451,9314,9289,9258,9102,9106,9021,8992
"29033","Carroll, MO","4","CA1","3","...","Per capita personal income (dollars) 2/",3545,3999,4275,4714,5766,5450,5926,5690,7511,7804,8702,7701,9548,9897,9930,11599,13320,13022,13030,13609,14793,14265,14877,16562,15747,18147,17466,20068,20410,19665,20820,22372,23664,23857,25630,28994,28523,31340,35479,39326,38863,36890,40970,42723,46209,46862,44402
